,date_time,injured,killed,street_name_primary,street_name_intersecting
82153,2021-08,1,0,ADAMS AVENUE,NCL 3400 Adams AVENUE
82158,2021-08,0,0,MISSION BOULEVARD,SANTA RITA PLACE
82159,2021-08,0,0,MISSION BOULEVARD,SANTA RITA PLACE
82160,2021-08,0,0,IMPERIAL AVENUE,
82161,2021-08,0,0,IMPERIAL AVENUE,
82162,2021-08,2,0,MIRA MESA BOULEVARD,
82163,2021-08,2,0,MIRA MESA BOULEVARD,
82164,2021-08,2,0,MIRA MESA BOULEVARD,
82165,2021-08,2,0,MIRA MESA BOULEVARD,
82166,2021-08,2,0,MIRA MESA BOULEVARD,
82167,2021-08,1,0,CARMEL MOUNTAIN ROAD,
82168,2021-08,1,0,CARMEL MOUNTAIN ROAD,
82169,2021-08,0,0,FRAZEE ROAD,
82170,2021-08,0,0,FRAZEE ROAD,
82171,2021-08,0,0,FRAZEE ROAD,
82174,2021-08,0,0,STATE STREET,
82175,2021-08,0,0,STATE STREET,
82176,2021-08,0,0,ASH STREET,
82177,2021-08,0,0,ASH STREET,
82178,2021-08,0,0,ASH STREET,
82182,2021-08,0,0,EUCLID AVENUE,
82183,2021-08,0,0,EUCLID AVENUE,
82190,2021-08,0,0,WASHINGTON STREET,
82191,2021-08,0,0,WASHINGTON STREET,
82192,2021-08,2,0,EL CAJON BOULEVARD,
82193,2021-08,2,0,EL CAJON BOULEVARD,
82194,2021-08,2,0,EL CAJON BOULEVARD,
82200,2021-08,1,0,GARNET AVENUE,
82209,2021-08,1,0,LA JOLLA VILLAGE DRIVE,EXECUTIVE WAY
82210,2021-08,1,0,LA JOLLA VILLAGE DRIVE,EXECUTIVE WAY
82211,2021-08,1,0,AIRWAY ROAD,
82212,2021-08,1,0,AIRWAY ROAD,
82222,2021-08,0,0,CABLE STREET,
82223,2021-08,0,0,CABLE STREET,
82224,2021-08,0,0,GRAND AVENUE,
82225,2021-08,1,0,OCEAN VIEW BOULEVARD,
82226,2021-08,1,0,OCEAN VIEW BOULEVARD,
82227,2021-08,1,0,OCEAN VIEW BOULEVARD,
82228,2021-08,1,0,OCEAN VIEW BOULEVARD,
82229,2021-08,1,0,OCEAN VIEW BOULEVARD,
82230,2021-08,0,0,NIMITZ BOULEVARD,SUNSET CLIFFS BOULEVARD
82231,2021-08,0,0,CROWN POINT DRIVE,INGRAHAM STREET
82232,2021-08,0,0,CROWN POINT DRIVE,INGRAHAM STREET
82233,2021-08,1,0,QUIVIRA WAY,
82234,2021-08,0,1,JUNIPER STREET,
82235,2021-08,0,1,JUNIPER STREET,
82238,2021-08,0,0,WASHINGTON STREET,
82239,2021-08,0,0,WASHINGTON STREET,
82242,2021-08,0,1,INGRAHAM STREET,
82245,2021-08,0,0,JADE COAST DRIVE,
82246,2021-08,0,0,JADE COAST DRIVE,
82247,2021-08,1,0,MARKET STREET,
82248,2021-08,1,0,MARKET STREET,
82249,2021-08,2,0,PARK BOULEVARD,ESSEX STREET
82250,2021-08,2,0,PARK BOULEVARD,ESSEX STREET
82251,2021-08,2,0,PARK BOULEVARD,ESSEX STREET
82257,2021-08,0,0,MARKET STREET,
82258,2021-08,0,0,MARKET STREET,
82261,2021-08,0,0,NORTHSIDE DRIVE,
82262,2021-08,0,0,NORTHSIDE DRIVE,
82267,2021-08,1,0,CLAIREMONT DRIVE,
82268,2021-08,1,0,CLAIREMONT DRIVE,
82269,2021-08,1,0,CLAIREMONT DRIVE,
82270,2021-08,1,0,CLAIREMONT DRIVE,
82271,2021-08,1,0,G STREET,
82272,2021-08,1,0,G STREET,
82278,2021-08,1,0,CONGRESS STREET,HARNEY STREET
82279,2021-08,1,0,CONGRESS STREET,HARNEY STREET
82280,2021-08,1,0,CONGRESS STREET,HARNEY STREET
82281,2021-08,1,0,CONGRESS STREET,HARNEY STREET
82282,2021-08,1,0,CONGRESS STREET,HARNEY STREET
82283,2021-08,1,0,MARKET STREET,
82284,2021-08,1,0,MARKET STREET,
82285,2021-08,1,0,MARKET STREET,
82286,2021-08,1,0,MARKET STREET,
82287,2021-08,1,0,MARKET STREET,
82288,2021-08,2,0,EUCLID AVENUE,
82289,2021-08,2,0,EUCLID AVENUE,
82290,2021-08,2,0,EUCLID AVENUE,
82291,2021-08,2,0,EUCLID AVENUE,
82292,2021-08,1,0,PACIFIC HIGHWAY,
82293,2021-08,0,0,COLLEGE AVENUE,
82294,2021-08,0,0,COLLEGE AVENUE,
82295,2021-08,0,0,STATE STREET,
82296,2021-08,0,0,STATE STREET,
82297,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82298,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82299,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
