,date_count,street_name,total_count
1421,2013-04,ADAMS AVENUE,21139
1422,2018-04,ADAMS AVENUE,19371
1423,2021-06,ADAMS AVENUE,17825
1424,2006-05,ADAMS AVENUE,16280
1425,2006-05,ADAMS AVENUE,16278
1426,2008-05,ADAMS AVENUE,14260
1427,2009-05,ADAMS AVENUE,14495
1428,2012-04,ADAMS AVENUE,14278
1429,2015-05,ADAMS AVENUE,13354
1430,2016-05,ADAMS AVENUE,8185
1431,2007-04,ADAMS AVENUE,6910
1432,2010-04,ADAMS AVENUE,7165
1433,2013-03,ADAMS AVENUE,6811
1434,2018-04,ADAMS AVENUE,6052
1435,2021-06,ADAMS AVENUE,5252
1436,2021-09,ADAMS AVENUE,5426
1437,2005-03,ADAMS AVENUE,10690
1438,2008-03,ADAMS AVENUE,10960
1439,2011-06,ADAMS AVENUE,10945
1440,2014-04,ADAMS AVENUE,10428
1441,2018-03,ADAMS AVENUE,11995
1442,2022-03,ADAMS AVENUE,8629
1443,2007-04,ADAMS AVENUE,6470
1444,2010-04,ADAMS AVENUE,6320
1445,2013-04,ADAMS AVENUE,5451
1446,2018-04,ADAMS AVENUE,6130
1447,2021-05,ADAMS AVENUE,5932
1448,2016-05,ADOBE FALLS ROAD,1182
1449,2011-06,ADOBE FALLS ROAD,920
1450,2014-04,ADOBE FALLS ROAD,6804
1451,2011-06,ADOLPHIA STREET,1440
1452,2014-04,ADOLPHIA STREET,1359
1454,2005-06,ADRIAN STREET,5140
1455,2008-08,ADRIAN STREET,4300
1456,2011-08,ADRIAN STREET,5820
1457,2014-04,ADRIAN STREET,6577
1460,2006-09,AERO DRIVE,29680
1461,2009-09,AERO DRIVE,27660
1462,2012-09,AERO DRIVE,26619
1463,2016-09,AERO DRIVE,27797
1464,2005-10,AERO DRIVE,22370
1465,2006-09,AERO DRIVE,26540
1466,2008-10,AERO DRIVE,24850
1467,2009-09,AERO DRIVE,23920
1468,2012-08,AERO DRIVE,23697
1469,2015-10,AERO DRIVE,24242
1470,2022-10,AERO DRIVE,26786
1471,2016-09,AERO DRIVE,25391
1472,2015-12,AERO DRIVE,28162
1473,2006-09,AERO DRIVE,21680
1474,2009-09,AERO DRIVE,20585
1475,2012-09,AERO DRIVE,20154
1476,2016-09,AERO DRIVE,26061
1477,2006-09,AERO DRIVE,47900
1478,2008-10,AERO DRIVE,46470
1479,2009-09,AERO DRIVE,48650
1480,2012-09,AERO DRIVE,44603
1481,2016-09,AERO DRIVE,52257
1482,2007-10,AERO DRIVE,35470
1483,2010-09,AERO DRIVE,33480
1484,2015-11,AERO DRIVE,31764
1485,2017-10,AERO DRIVE,29145
1486,2021-11,AERO DRIVE,26431
1487,2006-09,AERO DRIVE,26890
1488,2008-10,AERO DRIVE,23550
1489,2009-09,AERO DRIVE,25025
1490,2012-07,AERO DRIVE,22759
1491,2016-09,AERO DRIVE,25555
1492,2007-11,AERO DRIVE,21070
1493,2010-10,AERO DRIVE,21690
1494,2013-10,AERO DRIVE,20301
1495,2017-11,AERO DRIVE,19423
1496,2021-12,AERO DRIVE,27152
1497,2006-09,AERO DRIVE,13900
1498,2009-09,AERO DRIVE,14145
1499,2012-09,AERO DRIVE,13357
1500,2016-09,AERO DRIVE,14828
1501,2007-10,AERO DRIVE,26190
1502,2010-09,AERO DRIVE,25380
1503,2017-10,AERO DRIVE,24903
1504,2021-11,AERO DRIVE,25047
1507,2011-06,AFTON ROAD,5210
1508,2015-03,AFTON ROAD,6466
1509,2006-12,AIRWAY ROAD,8060
1510,2016-12,AIRWAY ROAD,6638
1511,2011-06,AIRWAY ROAD,4080
1512,2014-04,AIRWAY ROAD,4250
1513,2009-01,AIRWAY ROAD,6510
1514,2012-01,AIRWAY ROAD,8025
1515,2015-02,AIRWAY ROAD,9730
1516,2015-02,AIRWAY ROAD,7976
1517,2019-12,AIRWAY ROAD,14488
1518,2005-12,AIRWAY ROAD,11500
1519,2009-01,AIRWAY ROAD,6285
1520,2012-01,AIRWAY ROAD,9775
1521,2015-02,AIRWAY ROAD,13357
1522,2015-02,AIRWAY ROAD,13357
1523,2015-12,AIRWAY ROAD,14051
1524,2015-11,AIRWAY ROAD,3835
1525,2006-12,AIRWAY ROAD,9220
1526,2011-05,AIRWAY ROAD,5160
1527,2014-04,AIRWAY ROAD,6236
1528,2010-12,AIRWAY ROAD,3800
1532,2011-06,AKINS AVENUE,1230
1533,2014-04,AKINS AVENUE,2459
1534,2011-06,AKINS AVENUE,6280
1535,2014-04,AKINS AVENUE,5990
1536,2005-03,ALABAMA STREET,1130
1537,2007-03,ALABAMA STREET,6780
1538,2010-03,ALABAMA STREET,6555
1539,2013-02,ALABAMA STREET,967
1540,2021-03,ALABAMA STREET,4364
1541,2007-03,ALBATROSS STREET,10630
1542,2010-03,ALBATROSS STREET,8375
1543,2013-03,ALBATROSS STREET,6853
1544,2021-03,ALBATROSS STREET,3527
1545,2005-06,ALBION STREET,2080
1546,2005-06,ALCOTT STREET,1000
1547,2006-05,ALDINE DRIVE,19040
1548,2009-05,ALDINE DRIVE,18895
1549,2012-04,ALDINE DRIVE,17567
1550,2015-05,ALDINE DRIVE,17455
1551,2016-01,ALDINE DRIVE,21104
1552,2016-05,ALDINE DRIVE,21284
1553,2022-11,ALDINE DRIVE,13703
1554,2006-05,ALDINE DRIVE,6830
1555,2006-05,ALDINE DRIVE,6830
1556,2009-05,ALDINE DRIVE,5685
1557,2012-04,ALDINE DRIVE,4244
1558,2015-05,ALDINE DRIVE,4789
1559,2016-05,ALDINE DRIVE,4705
1560,2010-12,ALLEGHANY STREET,2915
1561,2006-01,ALLEGHANY STREET,7120
1562,2009-01,ALLEGHANY STREET,6580
1563,2012-01,ALLEGHANY STREET,6495
1564,2015-02,ALLEGHANY STREET,6517
1565,2015-02,ALLEGHANY STREET,6517
1566,2016-01,ALLEGHANY STREET,7251
1567,2020-01,ALLEGHANY STREET,3310
1568,2007-01,ALLEGHANY STREET,3060
1569,2010-01,ALLEGHANY STREET,3325
1570,2013-01,ALLEGHANY STREET,3667
1571,2017-01,ALLEGHANY STREET,3304
1573,2011-01,ALMAZON STREET,2080
1574,2014-04,ALMAZON STREET,2670
1579,2010-12,ALSACIA STREET,3455
1580,2010-12,ALSACIA STREET,3575
1581,2015-06,ALSACIA STREET,1080
1586,2010-12,ALTA VIEW DRIVE,3285
1587,2005-02,ALTA VIEW DRIVE,9290
1588,2008-03,ALTA VIEW DRIVE,9370
1589,2011-05,ALTA VIEW DRIVE,10630
1590,2014-04,ALTA VIEW DRIVE,10155
1591,2018-02,ALTA VIEW DRIVE,9613
1592,2022-02,ALTA VIEW DRIVE,2852
1593,2010-12,ALTA VIEW DRIVE,4865
1594,2021-03,ALTA VIEW DRIVE,5219
1595,2018-10,ALTA VIEW DRIVE,3920
1596,2007-03,ALTA VIEW DRIVE,5260
1597,2010-03,ALTA VIEW DRIVE,5485
1598,2013-03,ALTA VIEW DRIVE,5444
1615,2007-04,ALVARADO ROAD,7690
1616,2010-04,ALVARADO ROAD,7545
1617,2013-03,ALVARADO ROAD,8220
1618,2018-04,ALVARADO ROAD,7562
1619,2021-06,ALVARADO ROAD,7399
1620,2006-05,ALVARADO ROAD,8430
1621,2007-04,ALVARADO ROAD,10030
1622,2009-05,ALVARADO ROAD,10550
1623,2010-04,ALVARADO ROAD,8250
1624,2012-04,ALVARADO ROAD,8302
1625,2013-03,ALVARADO ROAD,7772
1626,2015-05,ALVARADO ROAD,6985
1627,2018-04,ALVARADO ROAD,7916
1628,2021-06,ALVARADO ROAD,7437
1630,2008-02,ANGELIQUE STREET,1200
1631,2011-03,ANGELIQUE STREET,1205
1632,2014-04,ANGELIQUE STREET,1144
1633,2022-10,ANTIGUA BOULEVARD,3171
1634,2007-10,ANTIGUA BOULEVARD,3220
1635,2010-09,ANTIGUA BOULEVARD,4235
1636,2018-12,ANTIGUA BOULEVARD,2110
1637,2018-04,ANTIGUA BOULEVARD,2484
1638,2006-09,ANTIGUA BOULEVARD,3650
1639,2009-09,ANTIGUA BOULEVARD,3455
1640,2012-08,ANTIGUA BOULEVARD,3245
1641,2016-09,ANTIGUA BOULEVARD,3413
1642,2019-12,ANTIGUA BOULEVARD,6806
1643,2005-11,ANTIGUA BOULEVARD,6890
1644,2008-09,ANTIGUA BOULEVARD,6730
1645,2011-09,ANTIGUA BOULEVARD,7000
1646,2014-04,ANTIGUA BOULEVARD,7238
1647,2015-11,ANTIGUA BOULEVARD,7204
1648,2019-12,ANTIGUA BOULEVARD,3744
1649,2005-11,ANTIGUA BOULEVARD,6830
1650,2008-09,ANTIGUA BOULEVARD,5900
1651,2011-09,ANTIGUA BOULEVARD,5720
1652,2014-04,ANTIGUA BOULEVARD,6196
1653,2015-11,ANTIGUA BOULEVARD,5912
1659,2008-01,APPLETON STREET,6500
1660,2011-01,APPLETON STREET,6500
1661,2014-04,APPLETON STREET,6646
1662,2018-04,APPLETON STREET,5332
1663,2018-12,APPLETON STREET,5326
1664,2010-12,AQUARIUS DRIVE,6770
1665,2010-12,AQUARIUS DRIVE,2235
1666,2006-05,ARAGON DRIVE,2079
1667,2006-05,ARAGON DRIVE,2080
1668,2009-05,ARAGON DRIVE,2300
1669,2012-04,ARAGON DRIVE,2185
1670,2015-05,ARAGON DRIVE,2282
1671,2007-06,ARBOR DRIVE,5720
1672,2010-06,ARBOR DRIVE,6175
1673,2021-07,ARBOR DRIVE,1573
1674,2005-07,ARDATH ROAD,2400
1675,2012-08,ARDATH ROAD,1239
1676,2019-03,AREY DRIVE,1356
1677,2019-12,AREY DRIVE,2862
1678,2005-12,AREY DRIVE,3010
1679,2008-02,AREY DRIVE,2595
1680,2011-03,AREY DRIVE,2480
1681,2014-04,AREY DRIVE,2598
1682,2015-12,AREY DRIVE,2655
1685,2022-04,ARIANE DRIVE,3549
1686,2008-11,ARIANE DRIVE,2535
1687,2011-11,ARIANE DRIVE,3005
1688,2014-04,ARIANE DRIVE,2771
1689,2006-10,ARJONS DRIVE,7740
1690,2009-10,ARJONS DRIVE,6110
1691,2012-08,ARJONS DRIVE,6824
1692,2015-02,ARJONS DRIVE,6819
1693,2016-10,ARJONS DRIVE,8145
1694,2021-03,ARJONS DRIVE,7721
1695,2006-09,ARMOUR STREET,5050
1696,2008-09,ARMOUR STREET,5140
1697,2009-09,ARMOUR STREET,4235
1698,2012-08,ARMOUR STREET,4548
1699,2016-09,ARMOUR STREET,5681
1700,2010-12,ARMSTRONG STREET,4875
1701,2014-03,ARMSTRONG STREET,1826
1702,2006-11,ARMSTRONG STREET,4760
1703,2009-10,ARMSTRONG STREET,3930
1704,2016-11,ARMSTRONG STREET,3568
1705,2021-09,ARMSTRONG STREET,2006
1706,2006-11,ARRIBA STREET,6140
1707,2009-11,ARRIBA STREET,4940
1708,2016-11,ARRIBA STREET,5341
1709,2014-04,ARRIBA STREET,6255
1710,2006-11,ARRIBA STREET,6200
1711,2011-06,ARRIBA STREET,5190
1712,2016-11,ARRIBA STREET,6801
